Name                               Gender    ContentCategories      VoicePersonalities
es-ES-XimenaNeural                 Female    General                Friendly, Positive
es-GQ-JavierNeural                 Male      General                Friendly, Positive
es-GQ-TeresaNeural                 Female    General                Friendly, Positive
es-GT-AndresNeural                 Male      General                Friendly, Positive
es-GT-MartaNeural                  Female    General                Friendly, Positive
es-HN-CarlosNeural                 Male      General                Friendly, Positive
es-HN-KarlaNeural                  Female    General                Friendly, Positive
es-MX-DaliaNeural                  Female    General                Friendly, Positive
es-MX-JorgeNeural                  Male      General                Friendly, Positive
es-NI-FedericoNeural               Male      General                Friendly, Positive
es-NI-YolandaNeural                Female    General                Friendly, Positive
es-PA-MargaritaNeural              Female    General                Friendly, Positive
es-PA-RobertoNeural                Male      General                Friendly, Positive
es-PE-AlexNeural                   Male      General                Friendly, Positive
es-PE-CamilaNeural                 Female    General                Friendly, Positive
es-PR-KarinaNeural                 Female    General                Friendly, Positive
es-PR-VictorNeural                 Male      General                Friendly, Positive
es-PY-MarioNeural                  Male      General                Friendly, Positive
es-PY-TaniaNeural                  Female    General                Friendly, Positive
es-SV-LorenaNeural                 Female    General                Friendly, Positive
es-SV-RodrigoNeural                Male      General                Friendly, Positive
es-US-AlonsoNeural                 Male      General                Friendly, Positive
es-US-PalomaNeural                 Female    General                Friendly, Positive
es-UY-MateoNeural                  Male      General                Friendly, Positive
es-UY-ValentinaNeural              Female    General                Friendly, Positive
es-VE-PaolaNeural                  Female    General                Friendly, Positive
es-VE-SebastianNeural              Male      General                Friendly, Positive
et-EE-AnuNeural                    Female    General                Friendly, Positive
et-EE-KertNeural                   Male      General                Friendly, Positive
fa-IR-DilaraNeural                 Female    General                Friendly, Positive
fa-IR-FaridNeural                  Male      General                Friendly, Positive
fi-FI-HarriNeural                  Male      General                Friendly, Positive
fi-FI-NooraNeural                  Female    General                Friendly, Positive
fil-PH-AngeloNeural                Male      General                Friendly, Positive
fil-PH-BlessicaNeural              Female    General                Friendly, Positive
fr-BE-CharlineNeural               Female    General                Friendly, Positive
fr-BE-GerardNeural                 Male      General                Friendly, Positive
fr-CA-AntoineNeural                Male      General                Friendly, Positive
fr-CA-JeanNeural                   Male      General                Friendly, Positive
fr-CA-SylvieNeural                 Female    General                Friendly, Positive
fr-CA-ThierryNeural                Male      General                Friendly, Positive
fr-CH-ArianeNeural                 Female    General                Friendly, Positive
fr-CH-FabriceNeural                Male      General                Friendly, Positive
fr-FR-DeniseNeural                 Female    General                Friendly, Positive
fr-FR-EloiseNeural                 Female    General                Friendly, Positive
fr-FR-HenriNeural                  Male      General                Friendly, Positive
fr-FR-RemyMultilingualNeural       Male      General                Friendly, Positive
fr-FR-VivienneMultilingualNeural   Female    General                Friendly, Positive
ga-IE-ColmNeural                   Male      General                Friendly, Positive
ga-IE-OrlaNeural                   Female    General                Friendly, Positive
gl-ES-RoiNeural                    Male      General                Friendly, Positive
gl-ES-SabelaNeural                 Female    General                Friendly, Positive
gu-IN-DhwaniNeural                 Female    General                Friendly, Positive
gu-IN-NiranjanNeural               Male      General                Friendly, Positive
he-IL-AvriNeural                   Male      General                Friendly, Positive
he-IL-HilaNeural                   Female    General                Friendly, Positive
hi-IN-MadhurNeural                 Male      General                Friendly, Positive
hi-IN-SwaraNeural                  Female    General                Friendly, Positive
hr-HR-GabrijelaNeural              Female    General                Friendly, Positive
hr-HR-SreckoNeural                 Male      General                Friendly, Positive
hu-HU-NoemiNeural                  Female    General                Friendly, Positive
hu-HU-TamasNeural                  Male      General                Friendly, Positive
id-ID-ArdiNeural                   Male      General                Friendly, Positive
id-ID-GadisNeural                  Female    General                Friendly, Positive
is-IS-GudrunNeural                 Female    General                Friendly, Positive
is-IS-GunnarNeural                 Male      General                Friendly, Positive
it-IT-DiegoNeural                  Male      General                Friendly, Positive
it-IT-ElsaNeural                   Female    General                Friendly, Positive
it-IT-GiuseppeMultilingualNeural   Male      General                Friendly, Positive
it-IT-IsabellaNeural               Female    General                Friendly, Positive
iu-Cans-CA-SiqiniqNeural           Female    General                Friendly, Positive
iu-Cans-CA-TaqqiqNeural            Male      General                Friendly, Positive
iu-Latn-CA-SiqiniqNeural           Female    General                Friendly, Positive
iu-Latn-CA-TaqqiqNeural            Male      General                Friendly, Positive
ja-JP-KeitaNeural                  Male      General                Friendly, Positive
ja-JP-NanamiNeural                 Female    General                Friendly, Positive
jv-ID-DimasNeural                  Male      General                Friendly, Positive
jv-ID-SitiNeural                   Female    General                Friendly, Positive
ka-GE-EkaNeural                    Female    General                Friendly, Positive
ka-GE-GiorgiNeural                 Male      General                Friendly, Positive
kk-KZ-AigulNeural                  Female    General                Friendly, Positive
kk-KZ-DauletNeural                 Male      General                Friendly, Positive
km-KH-PisethNeural                 Male      General                Friendly, Positive
km-KH-SreymomNeural                Female    General                Friendly, Positive
kn-IN-GaganNeural                  Male      General                Friendly, Positive
kn-IN-SapnaNeural                  Female    General                Friendly, Positive
ko-KR-HyunsuMultilingualNeural     Male      General                Friendly, Positive
ko-KR-InJoonNeural                 Male      General                Friendly, Positive
ko-KR-SunHiNeural                  Female    General                Friendly, Positive
lo-LA-ChanthavongNeural            Male      General                Friendly, Positive
lo-LA-KeomanyNeural                Female    General                Friendly, Positive
lt-LT-LeonasNeural                 Male      General                Friendly, Positive
lt-LT-OnaNeural                    Female    General                Friendly, Positive
lv-LV-EveritaNeural                Female    General                Friendly, Positive
lv-LV-NilsNeural                   Male      General                Friendly, Positive
mk-MK-AleksandarNeural             Male      General                Friendly, Positive
mk-MK-MarijaNeural                 Female    General                Friendly, Positive
ml-IN-MidhunNeural                 Male      General                Friendly, Positive
ml-IN-SobhanaNeural                Female    General                Friendly, Positive
mn-MN-BataaNeural                  Male      General                Friendly, Positive
mn-MN-YesuiNeural                  Female    General                Friendly, Positive
mr-IN-AarohiNeural                 Female    General                Friendly, Positive
mr-IN-ManoharNeural                Male      General                Friendly, Positive
ms-MY-OsmanNeural                  Male      General                Friendly, Positive
ms-MY-YasminNeural                 Female    General                Friendly, Positive
mt-MT-GraceNeural                  Female    General                Friendly, Positive
mt-MT-JosephNeural                 Male      General                Friendly, Positive
my-MM-NilarNeural                  Female    General                Friendly, Positive
my-MM-ThihaNeural                  Male      General                Friendly, Positive
nb-NO-FinnNeural                   Male      General                Friendly, Positive
nb-NO-PernilleNeural               Female    General                Friendly, Positive
ne-NP-HemkalaNeural                Female    General                Friendly, Positive
ne-NP-SagarNeural                  Male      General                Friendly, Positive
nl-BE-ArnaudNeural                 Male      General                Friendly, Positive
nl-BE-DenaNeural                   Female    General                Friendly, Positive
nl-NL-ColetteNeural                Female    General                Friendly, Positive
nl-NL-FennaNeural                  Female    General                Friendly, Positive
nl-NL-MaartenNeural                Male      General                Friendly, Positive
pl-PL-MarekNeural                  Male      General                Friendly, Positive
pl-PL-ZofiaNeural                  Female    General                Friendly, Positive
ps-AF-GulNawazNeural               Male      General                Friendly, Positive
ps-AF-LatifaNeural                 Female    General                Friendly, Positive
pt-BR-AntonioNeural                Male      General                Friendly, Positive
pt-BR-FranciscaNeural              Female    General                Friendly, Positive
pt-BR-ThalitaMultilingualNeural    Female    General                Friendly, Positive
pt-PT-DuarteNeural                 Male      General                Friendly, Positive
pt-PT-RaquelNeural                 Female    General                Friendly, Positive
ro-RO-AlinaNeural                  Female    General                Friendly, Positive
ro-RO-EmilNeural                   Male      General                Friendly, Positive
ru-RU-DmitryNeural                 Male      General                Friendly, Positive
ru-RU-SvetlanaNeural               Female    General                Friendly, Positive
si-LK-SameeraNeural                Male      General                Friendly, Positive
si-LK-ThiliniNeural                Female    General                Friendly, Positive
sk-SK-LukasNeural                  Male      General                Friendly, Positive
sk-SK-ViktoriaNeural               Female    General                Friendly, Positive
sl-SI-PetraNeural                  Female    General                Friendly, Positive
sl-SI-RokNeural                    Male      General                Friendly, Positive
so-SO-MuuseNeural                  Male      General                Friendly, Positive
so-SO-UbaxNeural                   Female    General                Friendly, Positive
sq-AL-AnilaNeural                  Female    General                Friendly, Positive
sq-AL-IlirNeural                   Male      General                Friendly, Positive
sr-RS-NicholasNeural               Male      General                Friendly, Positive
sr-RS-SophieNeural                 Female    General                Friendly, Positive
su-ID-JajangNeural                 Male      General                Friendly, Positive
su-ID-TutiNeural                   Female    General                Friendly, Positive
sv-SE-MattiasNeural                Male      General                Friendly, Positive
sv-SE-SofieNeural                  Female    General                Friendly, Positive
sw-KE-RafikiNeural                 Male      General                Friendly, Positive
sw-KE-ZuriNeural                   Female    General                Friendly, Positive
sw-TZ-DaudiNeural                  Male      General                Friendly, Positive
sw-TZ-RehemaNeural                 Female    General                Friendly, Positive
ta-IN-PallaviNeural                Female    General                Friendly, Positive
ta-IN-ValluvarNeural               Male      General                Friendly, Positive
ta-LK-KumarNeural                  Male      General                Friendly, Positive
ta-LK-SaranyaNeural                Female    General                Friendly, Positive
ta-MY-KaniNeural                   Female    General                Friendly, Positive
ta-MY-SuryaNeural                  Male      General                Friendly, Positive
ta-SG-AnbuNeural                   Male      General                Friendly, Positive
ta-SG-VenbaNeural                  Female    General                Friendly, Positive
te-IN-MohanNeural                  Male      General                Friendly, Positive
te-IN-ShrutiNeural                 Female    General                Friendly, Positive
th-TH-NiwatNeural                  Male      General                Friendly, Positive
th-TH-PremwadeeNeural              Female    General                Friendly, Positive
tr-TR-AhmetNeural                  Male      General                Friendly, Positive
tr-TR-EmelNeural                   Female    General                Friendly, Positive
uk-UA-OstapNeural                  Male      General                Friendly, Positive
uk-UA-PolinaNeural                 Female    General                Friendly, Positive
ur-IN-GulNeural                    Female    General                Friendly, Positive
ur-IN-SalmanNeural                 Male      General                Friendly, Positive
ur-PK-AsadNeural                   Male      General                Friendly, Positive
ur-PK-UzmaNeural                   Female    General                Friendly, Positive
uz-UZ-MadinaNeural                 Female    General                Friendly, Positive
uz-UZ-SardorNeural                 Male      General                Friendly, Positive
vi-VN-HoaiMyNeural                 Female    General                Friendly, Positive
vi-VN-NamMinhNeural                Male      General                Friendly, Positive
zh-CN-XiaoxiaoNeural               Female    News, Novel            Warm
zh-CN-XiaoyiNeural                 Female    Cartoon, Novel         Lively
zh-CN-YunjianNeural                Male      Sports, Novel          Passion
zh-CN-YunxiNeural                  Male      Novel                  Lively, Sunshine
zh-CN-YunxiaNeural                 Male      Cartoon, Novel         Cute
zh-CN-YunyangNeural                Male      News                   Professional, Reliable
zh-CN-liaoning-XiaobeiNeural       Female    Dialect                Humorous
zh-CN-shaanxi-XiaoniNeural         Female    Dialect                Bright
zh-HK-HiuGaaiNeural                Female    General                Friendly, Positive
zh-HK-HiuMaanNeural                Female    General                Friendly, Positive
zh-HK-WanLungNeural                Male      General                Friendly, Positive
zh-TW-HsiaoChenNeural              Female    General                Friendly, Positive
zh-TW-HsiaoYuNeural                Female    General                Friendly, Positive
zh-TW-YunJheNeural                 Male      General                Friendly, Positive
zu-ZA-ThandoNeural                 Female    General                Friendly, Positive
zu-ZA-ThembaNeural                 Male      General                Friendly, Positive
